Country,Life_Exp,Mean_Years_School,Surface,Births_by_Professionals,Water_Productivity,Inflation,Mortality_Rate,GDP_Growth,Ease_Business,Out_Of_School_Primary,Master_DG_Over_25,Migrants,Forested,GDP_Per_Capita,Start_UP_Procedures,Broad_Band
Cambodia,69.5835,5.088,181040,68.3,6.717187348,1.223931955,31.8,7.89939858,53.84483,2.59324646,0.658479989,-0.885135444,48.8666593,0.022908681,0.333333333,0.018643259
Zimbabwe,59.2531,8.710908501,390760,89,5.428182681,-2.430968424,61.3,0.305591051,54.46935,7.974789492,0.621500015,-4.127948192,45.23218856,0.02106875,0.444444444,0.018252218
Angola,61.6434,5.417390823,1246700,78.1,111.3018879,9.150372075,88.1,7.191644472,41.28838,7.774740072,0.621500015,0.489977327,55.65307612,0.032401771,0.333333333,0.009355488
Syrian Arab Republic,72.0627,5.1,185180,70.6,1.971935703,139.2,41.6,-0.686567529,41.96812,7.201358212,0.260670006,-29.47621607,2.819310941,0.023683755,0.277777778,0.118040971
Cameroon,60.3334,6.15131,475440,91.5,25.2312597,2.685982772,88,4.263413094,46.09974,5.202819824,0.260670006,-0.13223499,43.37136127,0.019775407,0.277777778,0.036293364
Kenya,61.427,6.652,580370,64.7,19.03855057,6.582174403,48.9,4.204143082,73.21648,6.385474418,0.260670006,-0.09093273,6.069248927,0.025611479,0.611111111,0.016717494
Congo,63.5187,6.166,342000,61.8,252.9337086,3.169097968,52.6,4.491251029,39.53359,12.77954102,0.260670006,-1.060629657,64.37134503,0.014767472,0.555555556,0.00024163
Zambia,61.2234,7.187091494,752610,91.2,11.9416845,10.11059289,67.7,6.519972912,66.93648,7.818304332,0.260670006,-0.264261437,60.79523259,0.017015856,0.277777778,0.005970206
Solomon Islands,70.3477,5.711848,28900,64.2,20.18054562,-0.574469286,22.7,2.307551947,55.26279,7.825565042,0.260670006,-1.136087614,87.42629758,0.011976384,0.277777778,0.001941133
Comoros,63.4174,5.078649,1861,86.2,89.53768086,10,72.3,3.239318664,47.87291,20.8258667,0.260670006,-1.125548142,18.86620097,0.016497685,0.388888889,0.001634466
